niche_name,percent_female,percent_male,self_republican,self_democratic,self_indep,self_other,self_dont_care,school_very_liberal,school_liberal,school_moderate,school_conservative,school_very_conservative,school_libertarian,school_not_sure
University of Arizona,53%,47%,17%,31%,23%,2%,27%,6%,26%,34%,6%,1%,n/a,28%
Temple University,54%,46%,8%,53%,20%,2%,17%,15%,38%,18%,1%,0%,0%,28%
Louisiana State University,53%,47%,30%,30%,22%,2%,16%,3%,11%,29%,23%,3%,n/a,30%
East Carolina University,57%,43%,31%,33%,15%,3%,18%,1%,10%,37%,16%,1%,1%,35%
Arizona State University,45%,55%,19%,34%,21%,3%,23%,8%,21%,28%,6%,1%,1%,36%
Texas Tech University,47%,53%,29%,36%,17%,2%,16%,0%,7%,25%,33%,8%,1%,25%
University of Maryland - College Park,47%,53%,15%,44%,20%,2%,19%,11%,38%,22%,3%,n/a,0%,27%
Loyola University New Orleans,63%,37%,6%,41%,31%,3%,19%,18%,50%,23%,n/a,n/a,n/a,9%
North Carolina A&T State University,57%,43%,2%,58%,21%,2%,16%,11%,19%,21%,7%,n/a,n/a,42%
Bowling Green State University,56%,44%,18%,28%,25%,2%,26%,4%,18%,36%,9%,1%,n/a,33%
University of Wisconsin - La Crosse,57%,43%,13%,35%,5%,3%,45%,6%,21%,30%,6%,n/a,1%,37%
University of Minnesota Twin Cities,54%,46%,17%,36%,22%,5%,19%,15%,50%,20%,2%,n/a,0%,13%
Texas Southern University,57%,43%,5%,56%,9%,n/a,30%,14%,14%,33%,5%,n/a,1%,32%
Texas State University,59%,41%,25%,34%,13%,3%,26%,7%,24%,31%,7%,0%,n/a,31%
University of California - Los Angeles,58%,42%,10%,47%,14%,5%,24%,12%,48%,22%,1%,n/a,1%,17%
California State University - Chico,53%,47%,10%,44%,16%,2%,27%,10%,33%,26%,3%,1%,n/a,28%
Savannah State University,60%,40%,5%,54%,18%,n/a,23%,15%,16%,15%,9%,1%,2%,40%
University of Tennessee,51%,49%,30%,24%,24%,2%,19%,4%,10%,35%,19%,4%,1%,27%
Morgan State University,55%,45%,1%,65%,8%,4%,22%,12%,23%,23%,9%,1%,1%,32%
Kansas State University,47%,53%,35%,27%,21%,2%,15%,2%,2%,32%,26%,7%,1%,30%
University of Oregon,54%,46%,9%,52%,20%,3%,16%,29%,48%,11%,2%,n/a,2%,9%
University of Kentucky,56%,44%,31%,35%,19%,1%,15%,3%,14%,31%,18%,2%,n/a,31%
Yale University,50%,50%,7%,64%,11%,4%,14%,31%,50%,7%,2%,2%,n/a,9%
Auburn University,50%,50%,39%,30%,19%,1%,11%,2%,1%,24%,32%,16%,1%,23%
SUNY Oswego,50%,50%,13%,32%,26%,2%,28%,9%,33%,17%,4%,n/a,n/a,37%
SUNY Oneonta,62%,38%,7%,50%,18%,n/a,25%,8%,28%,20%,n/a,2%,n/a,42%
University of North Carolina at Chapel Hill,60%,40%,26%,40%,19%,2%,13%,14%,59%,16%,1%,1%,n/a,9%
SUNY Cortland,57%,43%,13%,33%,17%,n/a,38%,4%,8%,31%,6%,2%,n/a,50%
Alabama State University,63%,37%,3%,64%,11%,n/a,22%,16%,19%,13%,6%,5%,n/a,40%
University of Wisconsin - Oshkosh,59%,41%,30%,23%,20%,3%,23%,4%,23%,24%,5%,1%,1%,41%
DePauw University,53%,47%,18%,35%,35%,6%,6%,5%,38%,24%,14%,3%,n/a,16%
Norfolk State University,65%,35%,3%,55%,12%,n/a,30%,6%,20%,18%,1%,1%,n/a,54%
New York University,58%,42%,4%,49%,24%,4%,18%,38%,42%,8%,0%,n/a,2%,10%
Alabama A&M University,59%,41%,3%,47%,16%,8%,26%,9%,20%,27%,9%,2%,n/a,33%
Colgate University,55%,45%,35%,35%,23%,4%,4%,4%,27%,30%,21%,n/a,n/a,18%
University of South Dakota,62%,38%,28%,20%,28%,4%,20%,2%,24%,36%,10%,2%,n/a,26%
Virginia Tech,43%,57%,41%,27%,18%,n/a,14%,2%,15%,42%,13%,1%,0%,27%
Prairie View A & M University,64%,36%,4%,59%,7%,n/a,30%,8%,19%,23%,10%,2%,n/a,39%
Spelman College,100%,0%,n/a,79%,15%,n/a,6%,9%,48%,17%,6%,n/a,n/a,20%
University of Central Florida,54%,46%,16%,34%,25%,3%,22%,7%,24%,31%,3%,0%,1%,34%
Albany State University,71%,29%,3%,62%,7%,n/a,28%,10%,12%,29%,6%,n/a,n/a,43%
Tennessee State University,63%,37%,8%,60%,9%,2%,21%,8%,16%,23%,7%,2%,n/a,43%
Georgia State University,59%,41%,6%,45%,19%,5%,26%,14%,32%,19%,3%,1%,0%,31%
University of Tampa,59%,41%,20%,34%,15%,1%,30%,2%,23%,29%,7%,n/a,n/a,39%
Southern University & A&M College,64%,36%,n/a,67%,8%,n/a,25%,10%,19%,29%,10%,5%,n/a,29%
Bethune-Cookman University,63%,37%,2%,63%,13%,n/a,21%,11%,16%,30%,14%,3%,n/a,25%
University of Louisville,54%,46%,17%,44%,17%,3%,19%,10%,25%,30%,5%,1%,1%,28%
Binghamton University SUNY,50%,50%,13%,41%,15%,1%,29%,8%,39%,25%,3%,n/a,n/a,26%
North Carolina Central University,67%,33%,10%,55%,21%,3%,10%,16%,16%,26%,7%,n/a,n/a,36%
Southern Illinois University Carbondale,47%,53%,13%,38%,11%,5%,33%,5%,16%,32%,5%,2%,3%,39%
University of Pittsburgh,53%,47%,19%,42%,15%,2%,22%,3%,33%,28%,4%,0%,1%,30%
Jackson State University,64%,36%,4%,55%,11%,n/a,30%,10%,11%,26%,10%,4%,1%,38%
Wake Forest University,53%,47%,41%,12%,35%,6%,6%,n/a,8%,34%,44%,6%,2%,6%
Massachusetts Institute of Technology,47%,53%,8%,23%,15%,15%,38%,16%,58%,13%,n/a,n/a,2%,11%
Indiana University of Pennsylvania,59%,41%,28%,37%,18%,3%,14%,6%,19%,37%,3%,2%,1%,33%
Pittsburg State University,48%,52%,46%,7%,25%,n/a,21%,2%,n/a,23%,21%,4%,n/a,50%
Clemson University,49%,51%,39%,23%,16%,2%,20%,2%,7%,21%,34%,12%,n/a,23%
Texas Christian University,59%,41%,33%,29%,17%,2%,19%,n/a,7%,23%,45%,10%,n/a,15%
Providence College,54%,46%,25%,29%,17%,n/a,29%,n/a,6%,20%,35%,18%,n/a,22%
Rice University,48%,52%,2%,48%,24%,7%,19%,17%,36%,33%,n/a,n/a,n/a,14%
Rollins College,60%,40%,14%,36%,18%,4%,29%,8%,19%,25%,21%,6%,n/a,21%
George Washington University,62%,38%,12%,54%,20%,2%,12%,20%,49%,16%,2%,n/a,1%,12%
Illinois State University,56%,44%,22%,34%,17%,1%,25%,2%,22%,33%,6%,1%,1%,36%
Tuskegee University,64%,36%,n/a,66%,9%,6%,20%,10%,16%,26%,10%,1%,n/a,36%
Old Dominion University,55%,45%,15%,40%,19%,1%,25%,8%,18%,25%,7%,n/a,1%,41%
Iowa State University,43%,57%,30%,24%,22%,3%,20%,4%,22%,31%,11%,n/a,1%,31%
SUNY Buffalo State College,58%,42%,2%,74%,4%,n/a,19%,8%,28%,14%,6%,n/a,2%,42%
Georgia Southern University,54%,46%,25%,36%,14%,5%,20%,2%,11%,30%,17%,3%,0%,37%
Harris-Stowe State University,66%,34%,14%,71%,n/a,14%,n/a,13%,n/a,56%,n/a,6%,n/a,25%
University of Nebraska - Lincoln,48%,52%,35%,36%,17%,n/a,12%,1%,11%,28%,23%,4%,1%,33%
Central Michigan University,57%,43%,24%,33%,15%,2%,26%,5%,22%,29%,4%,1%,1%,38%
Johnson & Wales University- Providence,60%,40%,13%,35%,15%,n/a,37%,9%,15%,21%,6%,1%,3%,45%
Eckerd College,67%,33%,8%,65%,15%,n/a,12%,42%,42%,4%,n/a,n/a,2%,11%
Virginia Commonwealth University,60%,40%,10%,49%,11%,1%,29%,19%,39%,16%,1%,0%,1%,23%
Santa Clara University,49%,51%,17%,52%,7%,n/a,24%,3%,32%,36%,7%,1%,3%,19%
Plymouth State University,50%,50%,7%,37%,37%,n/a,19%,5%,26%,28%,7%,n/a,n/a,35%
Western Illinois University,52%,48%,6%,53%,8%,2%,32%,4%,14%,30%,4%,1%,2%,46%
University of Washington,54%,46%,5%,48%,26%,2%,18%,23%,50%,13%,1%,n/a,n/a,14%
South Carolina State University,50%,50%,9%,59%,5%,5%,23%,11%,19%,23%,14%,2%,2%,30%
Bloomsburg University of Pennsylvania,57%,43%,26%,33%,14%,n/a,28%,3%,23%,29%,11%,n/a,n/a,34%
Kent State University,62%,38%,18%,37%,13%,5%,27%,12%,32%,22%,1%,0%,0%,33%
Huston-Tillotson University,62%,38%,n/a,33%,17%,n/a,50%,8%,4%,29%,8%,n/a,n/a,50%
Duke University,50%,50%,9%,44%,28%,n/a,19%,10%,45%,21%,11%,5%,n/a,8%
Texas A&M University,48%,52%,40%,23%,15%,5%,17%,n/a,4%,12%,49%,19%,1%,15%
Missouri State University,58%,42%,18%,32%,19%,5%,26%,6%,19%,23%,11%,3%,2%,36%
Salisbury University,56%,44%,19%,26%,33%,2%,21%,3%,18%,22%,5%,1%,1%,51%
North Dakota State University,44%,56%,20%,17%,20%,9%,35%,1%,6%,16%,20%,4%,n/a,53%
Minnesota State University Mankato,52%,48%,24%,24%,24%,3%,24%,3%,24%,25%,3%,n/a,1%,43%
University of Idaho,48%,52%,26%,30%,17%,n/a,28%,1%,29%,32%,9%,1%,2%,26%
Oklahoma State University,49%,51%,33%,22%,29%,1%,15%,2%,7%,29%,28%,5%,1%,28%
Towson University,60%,40%,13%,42%,21%,2%,21%,6%,31%,21%,2%,1%,1%,38%
University of Wisconsin - Whitewater,49%,51%,11%,32%,16%,3%,38%,3%,22%,17%,6%,3%,n/a,49%
The New School,75%,25%,6%,35%,12%,12%,35%,63%,18%,5%,n/a,n/a,3%,11%
University of Denver,54%,46%,27%,41%,25%,n/a,7%,5%,30%,38%,9%,2%,2%,14%
University of California - Berkeley,53%,47%,3%,57%,15%,3%,21%,37%,48%,9%,2%,n/a,0%,5%
University of New Hampshire,55%,45%,17%,26%,28%,3%,26%,8%,36%,15%,5%,n/a,n/a,36%
Boston University,60%,40%,9%,57%,20%,1%,13%,18%,45%,15%,1%,n/a,1%,21%
Augustana College - Illinois,57%,43%,25%,50%,8%,n/a,17%,8%,36%,25%,3%,n/a,n/a,28%
Winston-Salem State University,71%,29%,8%,64%,17%,n/a,11%,15%,13%,25%,7%,n/a,2%,39%
University of North Dakota,47%,53%,25%,36%,7%,4%,29%,5%,13%,22%,27%,2%,n/a,31%
Trinity College - Connecticut,50%,50%,13%,42%,17%,13%,17%,2%,2%,31%,29%,12%,2%,23%
Coastal Carolina University,54%,46%,10%,38%,13%,n/a,38%,3%,11%,30%,6%,1%,n/a,48%
University of Nevada - Reno,53%,47%,18%,30%,30%,4%,18%,4%,30%,32%,6%,n/a,1%,28%
Ball State University,59%,41%,23%,31%,19%,2%,24%,4%,23%,20%,4%,1%,0%,46%
University of Maine,47%,53%,23%,21%,26%,2%,28%,6%,36%,24%,4%,n/a,1%,30%
University of Louisiana - Lafayette,56%,44%,27%,31%,12%,4%,25%,4%,13%,31%,16%,1%,1%,33%
University of Vermont,59%,41%,12%,43%,24%,6%,14%,51%,37%,4%,1%,n/a,n/a,8%
Rowan University,45%,55%,16%,36%,19%,n/a,30%,7%,21%,20%,5%,n/a,1%,46%
Grambling State University,60%,40%,4%,70%,9%,n/a,17%,13%,20%,27%,9%,7%,n/a,24%
Union College - New York,46%,54%,20%,30%,30%,n/a,20%,n/a,27%,27%,14%,n/a,3%,30%
University of North Texas,53%,47%,20%,37%,18%,3%,22%,13%,38%,21%,4%,1%,0%,22%
Bucknell University,51%,49%,17%,38%,21%,n/a,25%,5%,14%,33%,16%,7%,2%,23%
Georgetown University,56%,44%,16%,50%,18%,5%,11%,7%,35%,36%,8%,1%,n/a,13%
Dartmouth College,49%,51%,12%,42%,31%,4%,12%,2%,38%,30%,12%,6%,2%,10%
St. Bonaventure University,46%,54%,27%,47%,27%,n/a,n/a,4%,20%,44%,4%,n/a,4%,24%
Radford University,58%,42%,44%,16%,20%,2%,18%,2%,22%,23%,9%,4%,n/a,40%
Western Kentucky University,58%,42%,34%,34%,16%,5%,11%,n/a,11%,34%,11%,1%,1%,41%
Stephen F Austin State University,64%,36%,28%,26%,15%,2%,28%,5%,10%,29%,17%,5%,n/a,34%
West Chester University of Pennsylvania,60%,40%,23%,42%,18%,2%,15%,2%,22%,31%,4%,n/a,2%,39%
DePaul University,54%,46%,9%,48%,25%,1%,17%,16%,40%,16%,8%,n/a,1%,19%
Keene State College,55%,45%,6%,28%,39%,n/a,28%,7%,24%,20%,2%,n/a,2%,44%
Northwest Missouri State University,57%,43%,18%,20%,27%,2%,33%,3%,10%,31%,4%,n/a,1%,49%
University of Nevada Las Vegas,57%,43%,13%,33%,19%,5%,30%,10%,23%,25%,1%,1%,1%,39%
Cornell University,53%,47%,23%,39%,14%,3%,21%,14%,46%,26%,2%,n/a,n/a,13%
Washington & Lee University,50%,50%,33%,17%,42%,8%,n/a,n/a,n/a,11%,46%,32%,7%,4%
University of Wisconsin - Milwaukee,52%,48%,10%,29%,23%,9%,29%,10%,37%,26%,2%,1%,n/a,24%
Mississippi State University,50%,50%,37%,21%,19%,n/a,23%,3%,8%,26%,22%,6%,1%,34%
Hartwick College,58%,42%,17%,25%,8%,n/a,50%,14%,34%,21%,n/a,n/a,n/a,31%
Alcorn State University,64%,36%,5%,63%,11%,5%,16%,14%,10%,43%,2%,n/a,5%,26%
San Jose State University,50%,50%,4%,54%,13%,3%,26%,12%,34%,19%,4%,n/a,2%,29%
Gallaudet University,54%,46%,n/a,11%,22%,n/a,67%,11%,25%,21%,n/a,n/a,4%,39%
Brown University,54%,46%,9%,62%,29%,n/a,n/a,51%,40%,3%,n/a,n/a,2%,5%
Harvard University,49%,51%,11%,37%,33%,n/a,19%,27%,49%,6%,6%,4%,2%,6%
University of Rhode Island,56%,44%,18%,32%,21%,2%,28%,12%,23%,26%,4%,1%,1%,33%
Central State University,60%,40%,n/a,62%,15%,n/a,23%,7%,20%,37%,13%,7%,n/a,17%
California Polytechnic State University (Cal Poly) - San Luis Obispo,49%,51%,17%,43%,17%,4%,19%,1%,22%,33%,16%,2%,1%,25%
Columbia University,47%,53%,10%,46%,21%,13%,10%,32%,47%,13%,1%,n/a,n/a,7%
Fort Hays State University,59%,41%,32%,14%,29%,4%,21%,4%,6%,29%,18%,8%,n/a,35%
Oregon State University,46%,54%,19%,36%,21%,3%,21%,8%,27%,24%,10%,1%,1%,30%
University of Central Missouri,55%,45%,19%,25%,17%,n/a,39%,5%,17%,14%,5%,2%,2%,58%
Eastern Illinois University,59%,41%,22%,34%,17%,5%,22%,8%,13%,28%,7%,n/a,1%,43%
SUNY Fredonia,58%,42%,10%,31%,38%,n/a,21%,13%,32%,16%,2%,n/a,3%,35%
Colorado State University,52%,48%,26%,26%,23%,3%,22%,6%,26%,33%,6%,0%,1%,27%
Fort Valley State University,60%,40%,n/a,67%,20%,n/a,13%,5%,10%,32%,10%,10%,n/a,34%
The College of Saint Rose,67%,33%,n/a,31%,31%,4%,35%,6%,24%,24%,2%,2%,n/a,43%
SUNY Plattsburgh,57%,43%,n/a,35%,29%,12%,24%,6%,28%,21%,n/a,n/a,n/a,45%
Langston University,63%,37%,3%,45%,29%,3%,21%,13%,15%,27%,10%,n/a,2%,33%
Wittenberg University,55%,45%,22%,39%,28%,n/a,11%,5%,32%,35%,8%,n/a,n/a,19%
Berklee College of Music,41%,59%,7%,39%,24%,5%,24%,31%,23%,13%,3%,1%,n/a,30%
University of Houston,50%,50%,13%,41%,14%,1%,31%,9%,26%,31%,5%,0%,1%,28%
University of Richmond,52%,48%,23%,38%,19%,4%,15%,n/a,2%,61%,24%,7%,n/a,5%
University of Notre Dame,48%,52%,51%,22%,15%,5%,7%,n/a,1%,17%,64%,10%,1%,6%
East Stroudsburg University of Pennsylvania,56%,44%,11%,35%,14%,5%,35%,7%,11%,32%,2%,n/a,n/a,49%
Boston College,53%,47%,23%,35%,29%,3%,10%,2%,16%,36%,28%,4%,n/a,13%
North Carolina State University,47%,53%,29%,28%,28%,1%,14%,2%,12%,38%,21%,3%,1%,24%
Marquette University,54%,46%,28%,35%,15%,2%,20%,3%,17%,39%,26%,3%,n/a,13%
University at Buffalo SUNY,43%,57%,13%,33%,19%,2%,34%,7%,30%,23%,3%,n/a,1%,37%
University of Nebraska at Kearney,59%,41%,13%,29%,25%,n/a,33%,3%,9%,38%,9%,3%,n/a,38%
University of Connecticut,51%,49%,16%,34%,24%,2%,23%,5%,33%,19%,1%,n/a,1%,41%
Rutgers University - Newark,55%,45%,5%,60%,12%,n/a,24%,11%,26%,24%,2%,3%,n/a,35%
Philander Smith College,66%,34%,9%,64%,9%,9%,9%,13%,17%,25%,17%,n/a,n/a,29%
Purdue University,42%,58%,33%,20%,18%,2%,27%,3%,17%,30%,18%,2%,n/a,31%
Kutztown University of Pennsylvania,53%,47%,21%,37%,23%,2%,16%,1%,10%,31%,7%,n/a,4%,48%
Florida International University,57%,43%,14%,39%,23%,3%,22%,14%,20%,23%,4%,0%,1%,37%
Lincoln University of Pennsylvania,66%,34%,10%,65%,5%,n/a,20%,5%,21%,26%,8%,5%,n/a,36%
Spring Hill College,61%,39%,31%,31%,19%,n/a,19%,n/a,16%,24%,20%,4%,n/a,36%
SUNY College of Environmental Science & Forestry,47%,53%,n/a,40%,30%,n/a,30%,21%,37%,11%,n/a,n/a,n/a,32%
Stevens Institute of Technology,29%,71%,14%,10%,29%,5%,43%,9%,15%,15%,9%,n/a,3%,50%
Appalachian State University,56%,44%,26%,28%,28%,4%,14%,17%,38%,25%,4%,n/a,1%,15%
University of South Florida,55%,45%,19%,30%,20%,4%,27%,9%,26%,28%,4%,0%,0%,33%
Northern Illinois University,51%,49%,11%,45%,10%,1%,33%,6%,24%,17%,5%,1%,1%,45%
California State University - Long Beach,57%,43%,6%,53%,16%,4%,21%,14%,41%,18%,2%,n/a,0%,25%
Ferris State University,50%,50%,30%,22%,15%,n/a,33%,6%,10%,22%,10%,n/a,1%,51%
Virginia State University,58%,42%,3%,68%,n/a,n/a,29%,12%,17%,31%,7%,2%,1%,29%
University of Wisconsin - Stout,43%,57%,30%,26%,4%,4%,35%,3%,13%,21%,5%,n/a,3%,55%
SUNY New Paltz,62%,38%,5%,45%,13%,n/a,38%,31%,46%,5%,2%,1%,1%,14%
Bradley University,51%,49%,11%,24%,19%,n/a,46%,n/a,17%,33%,9%,n/a,n/a,41%
South Dakota State University,51%,49%,51%,23%,10%,n/a,15%,1%,10%,23%,16%,6%,n/a,44%
University of the Arts,63%,37%,n/a,54%,14%,4%,29%,47%,18%,13%,n/a,n/a,n/a,22%
Bowie State University,62%,38%,3%,58%,13%,3%,24%,13%,17%,29%,8%,2%,n/a,32%
University of Akron,46%,54%,14%,25%,17%,2%,42%,6%,16%,27%,2%,1%,2%,47%
Georgia College & State University,63%,37%,28%,23%,21%,n/a,28%,3%,14%,25%,13%,6%,3%,36%
Rhodes College,56%,44%,7%,50%,36%,n/a,7%,2%,19%,40%,14%,2%,n/a,23%
University of Memphis,58%,42%,14%,33%,19%,5%,28%,3%,20%,32%,8%,2%,n/a,36%
University of Scranton,57%,43%,13%,31%,13%,n/a,44%,n/a,6%,26%,26%,6%,n/a,35%
Gettysburg College,52%,48%,29%,35%,29%,n/a,6%,5%,22%,38%,19%,n/a,n/a,16%
Hendrix College,52%,48%,23%,54%,8%,n/a,15%,45%,52%,3%,n/a,n/a,n/a,n/a
Hampden-Sydney College,0%,100%,n/a,n/a,n/a,n/a,n/a,n/a,14%,n/a,43%,43%,n/a,n/a
Georgia Institute of Technology,39%,61%,20%,27%,30%,5%,18%,3%,15%,31%,20%,n/a,3%,28%
Wayne State College,56%,44%,56%,19%,6%,n/a,19%,n/a,10%,27%,17%,3%,n/a,43%
Southeast Missouri State University,58%,42%,16%,16%,19%,n/a,48%,4%,13%,28%,6%,2%,n/a,47%
University of Southern Mississippi,65%,35%,13%,32%,17%,4%,34%,7%,4%,38%,9%,2%,n/a,40%
Washington University in St. Louis,53%,47%,6%,46%,29%,6%,14%,18%,57%,12%,1%,n/a,n/a,12%
University of Wisconsin - Eau Claire,62%,38%,26%,37%,12%,7%,19%,8%,33%,24%,1%,1%,1%,31%
University of West Georgia,63%,37%,19%,31%,13%,3%,34%,2%,13%,30%,11%,2%,2%,42%
SUNY Potsdam,60%,40%,5%,45%,18%,9%,23%,8%,8%,28%,8%,n/a,3%,44%
University of North Carolina - Wilmington,60%,40%,29%,29%,27%,n/a,15%,6%,24%,36%,9%,n/a,1%,23%
Dillard University,76%,24%,n/a,71%,6%,6%,18%,9%,16%,22%,13%,3%,n/a,38%
Mississippi Valley State University,57%,43%,n/a,64%,n/a,9%,27%,n/a,n/a,33%,19%,10%,n/a,38%
Cornish College of the Arts,68%,32%,n/a,40%,40%,n/a,20%,57%,36%,n/a,n/a,n/a,n/a,7%
Winona State University,64%,36%,17%,17%,30%,4%,30%,2%,18%,18%,7%,n/a,2%,52%
Indiana State University,55%,45%,20%,27%,17%,n/a,36%,5%,16%,36%,8%,1%,1%,33%
Boise State University,55%,45%,22%,27%,25%,6%,19%,5%,13%,40%,13%,4%,1%,24%
University of Utah,47%,53%,29%,31%,19%,9%,12%,2%,28%,38%,10%,2%,1%,20%
Frostburg State University,47%,53%,21%,42%,9%,6%,21%,5%,25%,30%,2%,n/a,n/a,38%
California Institute of the Arts,55%,45%,14%,14%,29%,14%,29%,60%,33%,n/a,n/a,n/a,n/a,7%
Florida Memorial University,61%,39%,6%,53%,6%,n/a,35%,14%,12%,24%,19%,2%,2%,26%
Quinnipiac University,61%,39%,18%,28%,31%,2%,21%,3%,15%,27%,9%,3%,1%,43%
Barnard College,100%,0%,n/a,67%,17%,n/a,17%,45%,45%,6%,3%,n/a,n/a,n/a
University of North Carolina - Greensboro,66%,34%,15%,34%,23%,1%,27%,21%,31%,16%,1%,1%,1%,29%
St. Norbert College,58%,42%,25%,21%,29%,4%,21%,3%,13%,21%,21%,3%,3%,38%
University of Wyoming,49%,51%,47%,18%,20%,4%,12%,n/a,7%,27%,27%,14%,1%,24%
Montana State University,46%,54%,23%,27%,27%,5%,19%,8%,16%,34%,20%,1%,1%,21%
Slippery Rock University,55%,45%,32%,34%,13%,n/a,21%,4%,17%,32%,7%,1%,n/a,39%
University of California - Riverside,54%,46%,8%,59%,13%,1%,18%,15%,35%,21%,2%,n/a,n/a,28%
Valdosta State University,63%,37%,21%,39%,23%,n/a,18%,5%,15%,32%,12%,n/a,n/a,36%
University of Tennessee - Martin,58%,42%,47%,21%,n/a,n/a,32%,n/a,15%,13%,26%,2%,n/a,43%
